book_id,goodreads_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,title,language_code,average_rating,ratings_count,image_url,rating_counts,tags,ratings
3551,41913,1142,80,307279901,9780307279900.0,['P.D. James'],1992.0,The Children of Men,eng,3.69,28139,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 770, 'ratings_2': 2727, 'ratings_3': 9256, 'ratings_4': 12476, 'ratings_5': 6968}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 26837, 'tag_name': 'science-fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 10059, 'tag_name': 'dystopia'}]","[{'user': {'user_id': 18, 'user_name': 'Dale Peterson'}, 'rating': 2}, {'user': {'user_id': 142, 'user_name': 'Miss Michele Raymond MD'}, 'rating': 4}, {'user': {'user_id': 22, 'user_name': 'Luis Black'}, 'rating': 3}]"
7916,55095,1417,24,316781460,9780316781470.0,"['James Andrew Miller', 'Tom Shales']",2001.0,Live from New York: An Uncensored History of Saturday Night Live,en-US,4.04,10112,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 87, 'ratings_2': 405, 'ratings_3': 2526, 'ratings_4': 5234, 'ratings_5': 4073}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 15048, 'tag_name': 'humor'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 19733, 'tag_name': 'memoir'}]","[{'user': {'user_id': 177, 'user_name': 'Katrina Cox'}, 'rating': 3}, {'user': {'user_id': 347, 'user_name': 'Gina Lowe'}, 'rating': 3}]"
7262,150720,1632,9,571199976,9780571199980.0,['David Auburn'],2000.0,Proof: A Play,eng,4.01,13777,https://images.gr-assets.com/books/1417605435m/150720.jpg,"{'ratings_1': 205, 'ratings_2': 682, 'ratings_3': 2937, 'ratings_4': 5215, 'ratings_5': 4990}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 23743, 'tag_name': 'plays'}, {'tag_id': 9886, 'tag_name': 'drama'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 30208, 'tag_name': 'theatre'}]","[{'user': {'user_id': 26, 'user_name': 'Daniel King'}, 'rating': 5}]"
9287,33356,1647,35,349117624,9780349117620.0,['Max Barry'],2002.0,Jennifer Government,eng,3.65,9722,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 272, 'ratings_2': 1010, 'ratings_3': 3536, 'ratings_4': 4450, 'ratings_5': 2332}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 26837, 'tag_name': 'science-fiction'}, {'tag_id': 26771, 'tag_name': 'sci-fi'}, {'tag_id': 10059, 'tag_name': 'dystopia'}]","[{'user': {'user_id': 18, 'user_name': 'Dale Peterson'}, 'rating': 2}]"
381,5168,1649,54,446672211,9780446672210.0,['Billie Letts'],1995.0,Where the Heart Is,en-US,4.0,208333,https://images.gr-assets.com/books/1327959469m/5168.jpg,"{'ratings_1': 2053, 'ratings_2': 8967, 'ratings_3': 48023, 'ratings_4': 79147, 'ratings_5': 72178}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 6750, 'tag_name': 'chick-lit'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]","[{'user': {'user_id': 187, 'user_name': 'Diana Young'}, 'rating': 5}, {'user': {'user_id': 395, 'user_name': 'Sandra Holmes'}, 'rating': 3}, {'user': {'user_id': 396, 'user_name': 'Jill Jones'}, 'rating': 4}]"
6078,81903,1726,178,425173747,9780425173750.0,['Agatha Christie'],1975.0,Curtain: Poirot’s Last Case,eng,4.05,18358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 194, 'ratings_2': 930, 'ratings_3': 4684, 'ratings_4': 7924, 'ratings_5': 8288}","[{'tag_id': 20939, 'tag_name': 'mystery'}, {'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 1800, 'tag_name': 'agatha-christie'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8517, 'tag_name': 'crime'}]","[{'user': {'user_id': 46, 'user_name': 'Dylan Shepherd'}, 'rating': 5}, {'user': {'user_id': 124, 'user_name': 'Valerie Schmidt'}, 'rating': 4}, {'user': {'user_id': 399, 'user_name': 'Stephen Pugh'}, 'rating': 4}]"
7006,16335,1748,212,1579126952,9781579126960.0,['Agatha Christie'],1928.0,The Mystery of the Blue Train,eng,3.77,17011,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 142, 'ratings_2': 1142, 'ratings_3': 6739, 'ratings_4': 8463, 'ratings_5': 4609}","[{'tag_id': 20939, 'tag_name': 'mystery'}, {'tag_id': 1800, 'tag_name': 'agatha-christie'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 8517, 'tag_name': 'crime'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 46, 'user_name': 'Dylan Shepherd'}, 'rating': 5}]"
7771,19631,1769,26,312241224,9780312241220.0,['Lorrie Moore'],1998.0,Birds of America: Stories,eng,4.12,10768,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 140, 'ratings_2': 476, 'ratings_3': 1923, 'ratings_4': 4416, 'ratings_5': 4647}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 27669, 'tag_name': 'short-stories'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}]","[{'user': {'user_id': 90, 'user_name': 'Elizabeth Cook'}, 'rating': 5}]"
9533,6159,1781,21,802141900,9780802141900.0,['Sherman Alexie'],1995.0,Reservation Blues,eng,3.98,9919,https://images.gr-assets.com/books/1398195783m/6159.jpg,"{'ratings_1': 106, 'ratings_2': 441, 'ratings_3': 2313, 'ratings_4': 4603, 'ratings_5': 3291}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 21166, 'tag_name': 'native-american'}, {'tag_id': 11557, 'tag_name': 'favorites'}]","[{'user': {'user_id': 112, 'user_name': 'David Harper'}, 'rating': 5}, {'user': {'user_id': 113, 'user_name': 'Lisa Bender'}, 'rating': 5}, {'user': {'user_id': 247, 'user_name': 'Greg Johnson'}, 'rating': 4}]"
675,233667,1803,154,451167805,9780451167800.0,['Stephen King'],1980.0,Firestarter,eng,3.85,142213,https://images.gr-assets.com/books/1394208032m/233667.jpg,"{'ratings_1': 1589, 'ratings_2': 9090, 'ratings_3': 42672, 'ratings_4': 51583, 'ratings_5': 43197}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 14821, 'tag_name': 'horror'}, {'tag_id': 28663, 'tag_name': 'stephen-king'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]","[{'user': {'user_id': 116, 'user_name': 'Catherine Zimmerman'}, 'rating': 3}, {'user': {'user_id': 287, 'user_name': 'Brandon Burke'}, 'rating': 3}, {'user': {'user_id': 296, 'user_name': 'Jody Richardson'}, 'rating': 3}, {'user': {'user_id': 324, 'user_name': 'Lindsey Clark'}, 'rating': 4}, {'user': {'user_id': 345, 'user_name': 'Brenda Mann'}, 'rating': 2}, {'user': {'user_id': 286, 'user_name': 'Cole Hernandez'}, 'rating': 3}, {'user': {'user_id': 361, 'user_name': 'Joshua Choi'}, 'rating': 2}]"
1123,13440,1814,2,751504386,9780751504380.0,['Stephen King'],1985.0,Skeleton Crew,eng,3.93,82320,https://images.gr-assets.com/books/1271861632m/13440.jpg,"{'ratings_1': 682, 'ratings_2': 3870, 'ratings_3': 23568, 'ratings_4': 32885, 'ratings_5': 27031}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 14821, 'tag_name': 'horror'}, {'tag_id': 28663, 'tag_name': 'stephen-king'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 287, 'user_name': 'Brandon Burke'}, 'rating': 5}, {'user': {'user_id': 296, 'user_name': 'Jody Richardson'}, 'rating': 2}, {'user': {'user_id': 345, 'user_name': 'Brenda Mann'}, 'rating': 3}, {'user': {'user_id': 361, 'user_name': 'Joshua Choi'}, 'rating': 2}, {'user': {'user_id': 370, 'user_name': 'Lisa Irwin'}, 'rating': 3}]"
817,6294,2001,75,006441034X,9780064410340.0,['Diana Wynne Jones'],1986.0,Howl's Moving Castle,eng,4.3,123945,https://images.gr-assets.com/books/1407450489m/6294.jpg,"{'ratings_1': 1370, 'ratings_2': 3764, 'ratings_3': 18194, 'ratings_4': 45058, 'ratings_5': 71962}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 27199, 'tag_name': 'series'}]","[{'user': {'user_id': 379, 'user_name': 'Matthew Salazar'}, 'rating': 5}]"
9707,171201,2206,11,571198775,9780571198770.0,['Margaret Edson'],1995.0,Wit : A Play,en-US,4.2,10601,https://images.gr-assets.com/books/1327908183m/171201.jpg,"{'ratings_1': 167, 'ratings_2': 383, 'ratings_3': 1659, 'ratings_4': 3563, 'ratings_5': 5129}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 23743, 'tag_name': 'plays'}, {'tag_id': 9886, 'tag_name': 'drama'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 372, 'user_name': 'Stephanie Newman'}, 'rating': 3}]"
3011,22649,2363,38,767907817,9780767907810.0,['Jane Green'],2000.0,Bookends,eng,3.7,32755,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 741, 'ratings_2': 2549, 'ratings_3': 10873, 'ratings_4': 11676, 'ratings_5': 7923}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 6750, 'tag_name': 'chick-lit'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 6766, 'tag_name': 'chicklit'}]","[{'user': {'user_id': 89, 'user_name': 'Justin Hall'}, 'rating': 2}, {'user': {'user_id': 322, 'user_name': 'William Lewis'}, 'rating': 3}, {'user': {'user_id': 324, 'user_name': 'Lindsey Clark'}, 'rating': 3}, {'user': {'user_id': 446, 'user_name': 'Cathy Jones'}, 'rating': 5}]"
4149,1519,2378,255,140443339,9780140443330.0,"['Aeschylus', 'Robert Fagles', 'William Bedell Stanford']",-458.0,Ὀρέστεια,eng,3.99,24588,https://images.gr-assets.com/books/1391822282m/1519.jpg,"{'ratings_1': 323, 'ratings_2': 1471, 'ratings_3': 6415, 'ratings_4': 9813, 'ratings_5': 10140}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 7457, 'tag_name': 'classics'}, {'tag_id': 23743, 'tag_name': 'plays'}, {'tag_id': 9886, 'tag_name': 'drama'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}]","[{'user': {'user_id': 24, 'user_name': 'Christopher Andrews'}, 'rating': 3}, {'user': {'user_id': 212, 'user_name': 'Christopher Taylor'}, 'rating': 4}]"
8142,45106,2469,27,60757639,9780060757630.0,['Robin Hobb'],2006.0,Forest Mage,en-US,3.35,11953,https://images.gr-assets.com/books/1446012746m/45106.jpg,"{'ratings_1': 750, 'ratings_2': 2104, 'ratings_3': 4570, 'ratings_4': 3850, 'ratings_5': 2268}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 26051, 'tag_name': 'robin-hobb'}]","[{'user': {'user_id': 22, 'user_name': 'Luis Black'}, 'rating': 3}]"
8035,36159,2498,23,756403146,9780756403140.0,['C.S. Friedman'],1991.0,Black Sun Rising,en-US,3.93,13994,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 327, 'ratings_2': 1014, 'ratings_3': 3305, 'ratings_4': 5406, 'ratings_5': 5233}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 26837, 'tag_name': 'science-fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 22, 'user_name': 'Luis Black'}, 'rating': 3}, {'user': {'user_id': 215, 'user_name': 'Paul Howard'}, 'rating': 3}, {'user': {'user_id': 320, 'user_name': 'Ronald Hernandez'}, 'rating': 5}]"
6980,17174,2506,17,312421850,9780312421850.0,['Michael Dorris'],1987.0,A Yellow Raft in Blue Water: A Novel,en-US,3.84,14380,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 312, 'ratings_2': 942, 'ratings_3': 3709, 'ratings_4': 5627, 'ratings_5': 4199}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 4949, 'tag_name': 'book-club'}]","[{'user': {'user_id': 101, 'user_name': 'Erika Dillon'}, 'rating': 4}]"
8103,176788,2612,25,886773776,9780886773780.0,['Mercedes Lackey'],1987.0,"Arrow's Flight (Heralds of Valdemar, #2)",eng,4.13,17226,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 76, 'ratings_2': 565, 'ratings_3': 3615, 'ratings_4': 6284, 'ratings_5': 7344}","[{'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11557, 'tag_name': 'favorites'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 31708, 'tag_name': 'valdemar'}]","[{'user': {'user_id': 149, 'user_name': 'Anthony Palmer'}, 'rating': 4}]"
4275,24782,2628,60,805080511,9780805080510.0,['Lloyd Alexander'],1967.0,Taran Wanderer,eng,4.14,29544,https://images.gr-assets.com/books/1406315774m/24782.jpg,"{'ratings_1': 277, 'ratings_2': 901, 'ratings_3': 5789, 'ratings_4': 11319, 'ratings_5': 12646}","[{'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 33114, 'tag_name': 'young-adult'}, {'tag_id': 11743, 'tag_name': 'fiction'}, {'tag_id': 11557, 'tag_name': 'favorites'}]","[{'user': {'user_id': 125, 'user_name': 'Barbara Jones'}, 'rating': 5}]"
3395,71252,2647,29,1563892049,9781563892040.0,"['Neil Gaiman', 'Marc Hempel', 'Richard Case', ""D'Israeli"", 'Teddy Kristiansen', 'Glyn Dillon', 'Charles Vess', 'Dean Ormston', 'Kevin Nowlan', 'Todd Klein', 'Frank McConnell']",1996.0,The Sandman: The Kindly Ones,eng,4.59,32544,https://images.gr-assets.com/books/1339922887m/71252.jpg,"{'ratings_1': 83, 'ratings_2': 291, 'ratings_3': 2165, 'ratings_4': 9153, 'ratings_5': 24306}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 13561, 'tag_name': 'graphic-novels'}, {'tag_id': 7778, 'tag_name': 'comics'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 13547, 'tag_name': 'graphic-novel'}]","[{'user': {'user_id': 340, 'user_name': 'Ashlee Moore'}, 'rating': 4}]"
1895,25099,2648,50,1563892251,9781563892260.0,"['Neil Gaiman', 'Steve Parkhouse', 'Chris Bachalo', 'Michael Zulli', 'Mike Dringenberg', 'Malcolm Jones III', 'Todd Klein', 'Clive Barker']",1990.0,The Doll's House,eng,4.44,54420,https://images.gr-assets.com/books/1298566119m/25099.jpg,"{'ratings_1': 124, 'ratings_2': 664, 'ratings_3': 5797, 'ratings_4': 20761, 'ratings_5': 34962}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 13561, 'tag_name': 'graphic-novels'}, {'tag_id': 7778, 'tag_name': 'comics'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 13547, 'tag_name': 'graphic-novel'}]","[{'user': {'user_id': 149, 'user_name': 'Anthony Palmer'}, 'rating': 4}]"
411,33722,2914,99,385338694,9780385338690.0,['Sophie Kinsella'],2005.0,The Undomestic Goddess,eng,3.82,200509,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 4985, 'ratings_2': 13344, 'ratings_3': 56048, 'ratings_4': 75290, 'ratings_5': 59694}","[{'tag_id': 6750, 'tag_name': 'chick-lit'}, {'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 26138, 'tag_name': 'romance'}, {'tag_id': 11743, 'tag_name': 'fiction'}]","[{'user': {'user_id': 203, 'user_name': 'Christopher Huff'}, 'rating': 2}]"
1856,79790,3034,32,312315953,9780312315960.0,['Augusten Burroughs'],2004.0,Magical Thinking: True Stories,en-US,3.96,45554,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 530, 'ratings_2': 2057, 'ratings_3': 11121, 'ratings_4': 17986, 'ratings_5': 15114}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 19733, 'tag_name': 'memoir'}, {'tag_id': 21689, 'tag_name': 'non-fiction'}, {'tag_id': 8717, 'tag_name': 'currently-reading'}, {'tag_id': 19742, 'tag_name': 'memoirs'}]","[{'user': {'user_id': 130, 'user_name': 'Kimberly Mitchell'}, 'rating': 5}, {'user': {'user_id': 237, 'user_name': 'David Smith'}, 'rating': 4}]"
5877,61958,3419,47,034541957X,9780345419580.0,['Anne McCaffrey'],1983.0,Moreta: Dragonlady Of Pern,eng,3.97,21117,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"{'ratings_1': 160, 'ratings_2': 1091, 'ratings_3': 5900, 'ratings_4': 8016, 'ratings_5': 7916}","[{'tag_id': 30574, 'tag_name': 'to-read'}, {'tag_id': 11305, 'tag_name': 'fantasy'}, {'tag_id': 26837, 'tag_name': 'science-fiction'}, {'tag_id': 26771, 'tag_name': 'sci-fi'}, {'tag_id': 9882, 'tag_name': 'dragons'}]","[{'user': {'user_id': 425, 'user_name': 'Cheryl Figueroa'}, 'rating': 4}]"
